Record Length,Analog:140000
Sample Interval,CH1:0.0000099999997
Vertical Units,CH1:V,,,
Vertical Scale,CH1:0.50,,,
Vertical Offset,CH1:-0.50000,,,
Horizontal Units,us,,,
Horizontal Scale,100000.0000000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMDBX2R1294,,,
Software Version,7.6.1.20 R3,,,
Source,CH1
Second,Volt
 0.00000000000,-0.48000
 0.00001000000,-0.46000
 0.00002000000,-0.46000
 0.00003000000,-0.46000
 0.00004000000,-0.46000
 0.00005000000,-0.48000
 0.00006000000,-0.46000
 0.00007000000,-0.46000
 0.00008000000,-0.48000
 0.00009000000,-0.46000
 0.00010000000,-0.46000
 0.00011000000,-0.50000
 0.00012000000,-0.46000
 0.00013000000,-0.46000
 0.00014000000,-0.46000
 0.00015000000,-0.46000
 0.00016000000,-0.46000
 0.00017000000,-0.46000
 0.00018000000,-0.48000
 0.00019000000,-0.46000
 0.00020000000,-0.48000
 0.00021000000,-0.46000
 0.00022000000,-0.46000
 0.00023000000,-0.48000
 0.00024000000,-0.46000
 0.00025000000,-0.48000
 0.00026000000,-0.46000
 0.00027000000,-0.48000
 0.00028000000,-0.46000
 0.00029000000,-0.48000
 0.00030000000,-0.48000
 0.00031000000,-0.48000
 0.00032000000,-0.46000
 0.00033000000,-0.48000
 0.00034000000,-0.46000
 0.00035000000,-0.50000
 0.00036000000,-0.46000
 0.00037000000,-0.46000
 0.00038000000,-0.46000
 0.00039000000,-0.46000
 0.00040000000,-0.48000
 0.00041000000,-0.48000
 0.00042000000,-0.46000
 0.00043000000,-0.46000
 0.00044000000,-0.46000
 0.00045000000,-0.46000
 0.00046000000,-0.46000
 0.00047000000,-0.46000
 0.00048000000,-0.46000
 0.00049000000,-0.46000
 0.00050000000,-0.46000
 0.00051000000,-0.48000
 0.00052000000,-0.46000
 0.00053000000,-0.46000
 0.00054000000,-0.46000
 0.00055000000,-0.48000
 0.00056000000,-0.46000
 0.00057000000,-0.46000
 0.00058000000,-0.46000
 0.00059000000,-0.46000
 0.00060000000,-0.48000
 0.00061000000,-0.46000
 0.00062000000,-0.46000
 0.00063000000,-0.46000
 0.00064000000,-0.46000
 0.00065000000,-0.46000
 0.00066000000,-0.46000
 0.00067000000,-0.46000
 0.00068000000,-0.46000
 0.00069000000,-0.48000
 0.00070000000,-0.46000
 0.00071000000,-0.46000
 0.00072000000,-0.48000
 0.00073000000,-0.48000
 0.00074000000,-0.48000
 0.00075000000,-0.46000
 0.00076000000,-0.48000
 0.00077000000,-0.48000
 0.00078000000,-0.46000
 0.00079000000,-0.46000
 0.00080000000,-0.46000
 0.00081000000,-0.48000
 0.00082000000,-0.48000
 0.00083000000,-0.48000
 0.00084000000,-0.46000
 0.00085000000,-0.46000
 0.00086000000,-0.48000
 0.00087000000,-0.48000
 0.00088000000,-0.46000
 0.00089000000,-0.44000
 0.00090000000,-0.46000
 0.00091000000,-0.46000
 0.00092000000,-0.48000
 0.00093000000,-0.46000
 0.00094000000,-0.46000
 0.00095000000,-0.46000
 0.00096000000,-0.48000
 0.00097000000,-0.48000
 0.00098000000,-0.46000
 0.00099000000,-0.48000
 0.00100000000,-0.46000
 0.00101000000,-0.48000
 0.00102000000,-0.48000
 0.00103000000,-0.46000
 0.00104000000,-0.48000
 0.00105000000,-0.46000
 0.00106000000,-0.48000
 0.00107000000,-0.46000
 0.00108000000,-0.46000
 0.00109000000,-0.46000
 0.00110000000,-0.48000
 0.00111000000,-0.48000
 0.00112000000,-0.46000
 0.00113000000,-0.44000
 0.00114000000,-0.48000
 0.00115000000,-0.48000
 0.00116000000,-0.48000
 0.00117000000,-0.46000
 0.00118000000,-0.48000
 0.00119000000,-0.46000
 0.00120000000,-0.46000
 0.00121000000,-0.46000
 0.00122000000,-0.48000
 0.00123000000,-0.48000
 0.00124000000,-0.48000
 0.00125000000,-0.48000
 0.00126000000,-0.48000
 0.00127000000,-0.48000
 0.00128000000,-0.48000
 0.00129000000,-0.46000
 0.00130000000,-0.46000
 0.00131000000,-0.46000
 0.00132000000,-0.48000
 0.00133000000,-0.48000
 0.00134000000,-0.48000
 0.00135000000,-0.48000
 0.00136000000,-0.46000
 0.00137000000,-0.46000
 0.00138000000,-0.46000
 0.00139000000,-0.50000
 0.00140000000,-0.48000
 0.00141000000,-0.48000
 0.00142000000,-0.46000
 0.00143000000,-0.46000
 0.00144000000,-0.46000
 0.00145000000,-0.48000
 0.00146000000,-0.48000
 0.00147000000,-0.46000
 0.00148000000,-0.48000
 0.00149000000,-0.46000
 0.00150000000,-0.48000
 0.00151000000,-0.48000
 0.00152000000,-0.46000
 0.00153000000,-0.46000
 0.00154000000,-0.46000
 0.00155000000,-0.46000
 0.00156000000,-0.50000
 0.00157000000,-0.46000
 0.00158000000,-0.48000
 0.00159000000,-0.46000
 0.00160000000,-0.46000
 0.00161000000,-0.46000
 0.00162000000,-0.48000
 0.00163000000,-0.46000
 0.00164000000,-0.46000
 0.00165000000,-0.48000
 0.00166000000,-0.46000
 0.00167000000,-0.46000
 0.00168000000,-0.48000
 0.00169000000,-0.46000
 0.00170000000,-0.46000
 0.00171000000,-0.46000
 0.00172000000,-0.48000
 0.00173000000,-0.46000
 0.00174000000,-0.48000
 0.00175000000,-0.48000
 0.00176000000,-0.46000
 0.00177000000,-0.46000
 0.00178000000,-0.48000
 0.00179000000,-0.48000
 0.00180000000,-0.48000
 0.00181000000,-0.48000
 0.00182000000,-0.48000
 0.00183000000,-0.48000
 0.00184000000,-0.48000
 0.00185000000,-0.46000
